sinp Ma Width(GeV)
===============================
0.1 50 5.101572e+01
0.1 100 5.096051e+01
0.1 200 5.075697e+01
0.1 300 5.046794e+01
0.1 400 5.015741e+01
0.1 490 4.991743e+01
0.1 600 4.973725e+01
0.3 50 5.998097e+01
0.3 100 5.948789e+01
0.3 200 5.765645e+01
0.3 300 5.505355e+01
0.3 400 5.225622e+01
0.3 490 5.009531e+01
0.5 50 7.771839e+01
0.5 100 7.635829e+01
0.5 200 7.145555e+01
0.5 300 6.422566e+01
0.5 400 5.689380e+01
0.5 490 5.045147e+01
0.5 600 4.594420e+01
0.7071 50 1.057406e+02
0.7071 100 1.030095e+02
0.7071 200 9.283899e+01
0.7071 300 7.856039e+01
0.7071 400 6.340994e+01
0.7071 490 5.100839e+01
0.7071 600 4.199341e+01
0.8660 50 1.337730e+02
0.8660 100 1.296778e+02
0.8660 200 1.144114e+02
0.8660 300 9.289424e+01
0.8660 400 6.958157e+01
0.8660 490 5.156502e+01
0.8660 600 3.804321e+01
