sinp Ma Width(GeV)
===============================
0.1 50 1.072312e-01
0.1 100 5.899714e-03
0.1 200 5.900963e-03
0.1 300 5.900963e-03
0.1 400 5.900963e-03
0.1 490 5.898943e-03
0.1 600 5.898943e-03
0.3 50 8.232907e+00
0.3 100 6.013647e-03
0.3 200 5.901398e-03
0.3 300 5.900963e-03
0.3 400 5.902571e-03
0.3 490 5.902571e-03
0.5 50 6.348757e+01
0.5 100 6.625558e-03
0.5 200 5.901398e-03
0.5 300 5.901398e-03
0.5 400 5.900837e-03
0.5 490 5.900692e-03
0.5 600 5.900692e-03
0.7071 50 2.539334e+02
0.7071 100 7.870090e-03
0.7071 200 5.899790e-03
0.7071 300 5.899623e-03
0.7071 400 5.899792e-03
0.7071 490 5.900601e-03
0.7071 600 5.900692e-03
0.8660 50 5.713430e+02
0.8660 100 8.082499e-03
0.8660 200 5.898943e-03
0.8660 300 5.899623e-03
0.8660 400 5.900601e-03
0.8660 490 5.900601e-03
0.8660 600 5.902571e-03
