sinp Ma Width(GeV)
===============================
0.1 50 1.967989e+00
0.1 100 3.938342e+00
0.1 200 7.877867e+00
0.1 300 1.181713e+01
0.1 400 1.587522e+01
0.1 490 1.950484e+01
0.1 600 2.392100e+01
0.3 50 1.809140e+00
0.3 100 3.620459e+00
0.3 200 7.242007e+00
0.3 300 1.086331e+01
0.3 400 1.555465e+01
0.3 490 1.957302e+01
0.5 50 1.491443e+00
0.5 100 2.984693e+00
0.5 200 5.970288e+00
0.5 300 8.955683e+00
0.5 400 1.491350e+01
0.5 490 1.973317e+01
0.5 600 2.552495e+01
0.7071 50 9.950419e-01
0.7071 100 1.991307e+00
0.7071 200 3.983226e+00
0.7071 300 5.978965e+00
0.7071 400 1.393236e+01
0.7071 490 1.998635e+01
0.7071 600 2.692139e+01
0.8660 50 4.986407e-01
0.8660 100 9.979225e-01
0.8660 200 1.996165e+00
0.8660 300 2.998852e+00
0.8660 400 1.293339e+01
0.8660 490 2.020741e+01
0.8660 600 2.798901e+01
