sinp=0.7071
tanb Ma Width(GeV)
===============================
0.3 50 2.472365e+02
0.3 100 2.408638e+02
0.3 200 2.165734e+02
0.3 300 1.792730e+02
0.3 400 1.285801e+02
0.3 490 1.274377e+02
0.3 600 1.273725e+02
0.5 50 1.720868e+02
0.5 100 1.657141e+02
0.5 200 1.414237e+02
0.5 300 1.041233e+02
0.5 400 5.333075e+01
0.5 490 5.233361e+01
0.5 600 5.222271e+01
0.7 50 1.513845e+02
0.7 100 1.450118e+02
0.7 200 1.207214e+02
0.7 300 8.342101e+01
0.7 400 3.247269e+01
0.7 490 3.161939e+01
0.7 600 3.152042e+01
1.0 50 1.403908e+02
1.0 100 1.340180e+02
1.0 200 1.097277e+02
1.0 300 7.242727e+01
1.0 400 2.136450e+01
1.0 490 2.061936e+01
1.0 600 2.054352e+01
1.5 50 1.345338e+02
1.5 100 1.281611e+02
1.5 200 1.038707e+02
1.5 300 6.657029e+01
1.5 400 1.543740e+01
1.5 490 1.475289e+01
1.5 600 1.468658e+01
