sinp=0.7071
tanb Ma Width(GeV)
===============================
0.3 50 9.940230e-01
0.3 100 1.989243e+00
0.3 200 3.979084e+00
0.3 300 5.990190e+00
0.3 400 7.401337e+01
0.3 490 1.226726e+02
0.3 600 1.723531e+02
0.5 50 9.942022e-01
0.5 100 1.989606e+00
0.5 200 3.979812e+00
0.5 300 5.973742e+00
0.5 400 3.173969e+01
0.5 490 5.046503e+01
0.5 600 7.042741e+01
0.7 50 9.944709e-01
0.7 100 1.990150e+00
0.7 200 3.980905e+00
0.7 300 5.975433e+00
0.7 400 2.011545e+01
0.7 490 3.055708e+01
0.7 600 4.205484e+01
1.0 50 9.950419e-01
1.0 100 1.991307e+00
1.0 200 3.983226e+00
1.0 300 5.978965e+00
1.0 400 1.393236e+01
1.0 490 1.998635e+01
1.0 600 2.692139e+01
1.5 50 9.964415e-01
1.5 100 1.994143e+00
1.5 200 3.988916e+00
1.5 300 5.987506e+00
1.5 400 1.064103e+01
1.5 490 1.435381e+01
1.5 600 1.883874e+01
