sinp=0.7071
tanb Ma Width(GeV)
===============================
0.3 50 2.539334e+02
0.3 100 7.886793e-03
0.3 200 5.901398e-03
0.3 300 5.900837e-03
0.3 400 5.902177e-03
0.3 490 5.902571e-03
0.3 600 5.900963e-03
0.5 50 2.539334e+02
0.5 100 7.839858e-03
0.5 200 5.901398e-03
0.5 300 5.899519e-03
0.5 400 5.900692e-03
0.5 490 5.900601e-03
0.5 600 5.902571e-03
0.7 50 2.539334e+02
0.7 100 7.837358e-03
0.7 200 5.901398e-03
0.7 300 5.899623e-03
0.7 400 5.900601e-03
0.7 490 5.900601e-03
0.7 600 5.902571e-03
1.0 50 2.539334e+02
1.0 100 7.870090e-03
1.0 200 5.899790e-03
1.0 300 5.899623e-03
1.0 400 5.899792e-03
1.0 490 5.900601e-03
1.0 600 5.900692e-03
1.5 50 2.539334e+02
1.5 100 7.869490e-03
1.5 200 5.898943e-03
1.5 300 5.901398e-03
1.5 400 5.899792e-03
1.5 490 5.900692e-03
1.5 600 5.900692e-03
