sinp=0.7071
tanb Ma Width(GeV)
===============================
0.3 50 4.160248e+02
0.3 100 4.132704e+02
0.3 200 4.038705e+02
0.3 300 3.892988e+02
0.3 400 3.736902e+02
0.3 490 3.616888e+02
0.3 600 3.526986e+02
0.5 50 1.977932e+02
0.5 100 1.950481e+02
0.5 200 1.854397e+02
0.5 300 1.709561e+02
0.5 400 1.553976e+02
0.5 490 1.433943e+02
0.5 600 1.343966e+02
0.7 50 1.376549e+02
0.7 100 1.349330e+02
0.7 200 1.250985e+02
0.7 300 1.106282e+02
0.7 400 9.508618e+01
0.7 490 8.307610e+01
0.7 600 7.406743e+01
1.0 50 1.057406e+02
1.0 100 1.030095e+02
1.0 200 9.283899e+01
1.0 300 7.856039e+01
1.0 400 6.340994e+01
1.0 490 5.100839e+01
1.0 600 4.199341e+01
1.5 50 8.876716e+01
1.5 100 8.603480e+01
1.5 200 7.586127e+01
1.5 300 6.139087e+01
1.5 400 4.633013e+01
1.5 490 3.391534e+01
1.5 600 2.490091e+01
