sinp=0.1
tanb Ma Width(GeV)
===============================
0.3 50 1.967968e+00
0.3 100 3.938301e+00
0.3 200 7.877784e+00
0.3 300 1.181700e+01
0.3 400 1.707726e+01
0.3 490 2.155984e+01
0.5 50 1.967972e+00
0.5 100 3.938308e+00
0.5 200 7.877799e+00
0.5 300 1.181703e+01
0.5 400 1.623178e+01
0.5 490 2.011446e+01
0.5 600 2.483406e+01
0.7 50 1.967977e+00
0.7 100 3.938319e+00
0.7 200 7.877820e+00
0.7 300 1.181706e+01
0.7 400 1.599888e+01
0.7 490 1.971629e+01
0.7 600 2.425780e+01
1.0 50 1.967989e+00
1.0 100 3.938342e+00
1.0 200 7.877867e+00
1.0 300 1.181713e+01
1.0 400 1.587522e+01
1.0 490 1.950484e+01
1.0 600 2.392100e+01
1.5 50 1.968017e+00
1.5 100 3.938399e+00
1.5 200 7.877981e+00
1.5 300 1.181730e+01
1.5 400 1.580940e+01
1.5 490 1.939220e+01
1.5 600 2.376226e+01
