sinp=0.1
tanb Ma Width(GeV)
===============================
0.3 50 4.568567e+02
0.3 100 4.568025e+02
0.3 200 4.566005e+02
0.3 300 4.567699e+02
0.3 400 4.564572e+02
0.3 490 4.562163e+02
0.5 50 1.783237e+02
0.5 100 1.782684e+02
0.5 200 1.780665e+02
0.5 300 1.777797e+02
0.5 400 1.774684e+02
0.5 490 1.772276e+02
0.5 600 1.770434e+02
0.7 50 1.013882e+02
0.7 100 1.013343e+02
0.7 200 1.011337e+02
0.7 300 1.008448e+02
0.7 400 1.005344e+02
0.7 490 1.002931e+02
0.7 600 1.001086e+02
1.0 50 6.051433e+01
1.0 100 6.046024e+01
1.0 200 6.025842e+01
1.0 300 5.997086e+01
1.0 400 5.966027e+01
1.0 490 5.941874e+01
1.0 600 5.923437e+01
1.5 50 3.872461e+01
1.5 100 3.867051e+01
1.5 200 3.846824e+01
1.5 300 3.818037e+01
1.5 400 3.786969e+01
1.5 490 3.762818e+01
1.5 600 3.744397e+01
