sinp=0.1
tanb Ma Width(GeV)
===============================
0.3 50 1.072312e-01
0.3 100 5.898549e-03
0.3 200 5.898549e-03
0.3 300 5.900963e-03
0.3 400 5.898943e-03
0.3 490 5.898943e-03
0.5 50 1.072312e-01
0.5 100 5.900963e-03
0.5 200 5.900963e-03
0.5 300 5.900963e-03
0.5 400 5.900963e-03
0.5 490 5.898943e-03
0.5 600 5.900963e-03
0.7 50 1.072312e-01
0.7 100 5.899714e-03
0.7 200 5.900963e-03
0.7 300 5.900963e-03
0.7 400 5.900963e-03
0.7 490 5.898943e-03
0.7 600 5.900963e-03
1.0 50 1.072312e-01
1.0 100 5.899714e-03
1.0 200 5.900963e-03
1.0 300 5.900963e-03
1.0 400 5.900963e-03
1.0 490 5.898943e-03
1.0 600 5.898943e-03
1.5 50 1.072312e-01
1.5 100 5.899714e-03
1.5 200 5.901398e-03
1.5 300 5.900963e-03
1.5 400 5.900963e-03
1.5 490 5.900963e-03
1.5 600 5.898943e-03
