sinp=0.1
tanb Ma Width(GeV)
===============================
0.3 50 2.374478e+02
0.3 100 2.371954e+02
0.3 200 2.362335e+02
0.3 300 2.347564e+02
0.3 400 2.327011e+02
0.3 490 2.327011e+02
0.5 50 8.865126e+01
0.5 100 8.839890e+01
0.5 200 8.743700e+01
0.5 300 8.595991e+01
0.5 400 8.390464e+01
0.5 490 8.390464e+01
0.5 600 8.390464e+01
0.7 50 4.766072e+01
0.7 100 4.740836e+01
0.7 200 4.644646e+01
0.7 300 4.496937e+01
0.7 400 4.291411e+01
0.7 490 4.291411e+01
0.7 600 4.291411e+01
1.0 50 2.589313e+01
1.0 100 2.564077e+01
1.0 200 2.467887e+01
1.0 300 2.320177e+01
1.0 400 2.114651e+01
1.0 490 2.114651e+01
1.0 600 2.114651e+01
1.5 50 1.429631e+01
1.5 100 1.404395e+01
1.5 200 1.308205e+01
1.5 300 1.160495e+01
1.5 400 9.549691e+00
1.5 490 9.549691e+00
1.5 600 9.549691e+00
